instant,dteday,season_x,yr_x,mnth_x,hr,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual,registered,cnt,season_y,yr_y,mnth_y,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804
